iter	Passed	Remaining
267	487	1332
268	489	1328
269	490	1325
270	491	1321
271	493	1319
272	494	1316
273	495	1312
274	497	1310
275	498	1306
276	499	1303
277	500	1299
278	501	1295
279	502	1292
280	503	1288
281	504	1284
282	506	1283
283	507	1280
284	509	1279
285	511	1275
286	512	1272
287	513	1269
288	514	1265
289	515	1262
290	516	1258
291	517	1255
292	518	1251
293	519	1247
294	521	1247
295	523	1245
296	525	1242
297	526	1241
298	528	1238
299	530	1236
300	531	1234
301	532	1231
302	534	1228
303	536	1228
304	538	1227
305	540	1225
306	541	1223
307	542	1219
308	544	1217
309	545	1214
310	546	1211
311	547	1207
312	549	1205
313	550	1202
314	551	1200
315	553	1197
316	555	1196
317	556	1193
318	557	1190
319	559	1187
320	560	1184
321	561	1181
322	562	1178
323	563	1175
324	566	1176
325	568	1176
326	570	1174
327	571	1171
328	573	1169
329	574	1165
330	575	1162
331	576	1159
332	577	1156
333	578	1154
334	581	1153
335	582	1151
336	584	1150
337	586	1148
338	587	1146
339	589	1144
340	590	1141
341	591	1138
342	592	1135
343	594	1133
344	595	1131
345	597	1129
346	598	1127
347	600	1124
348	601	1122
349	602	1119
350	603	1116
351	604	1113
352	605	1110
353	607	1107
354	607	1104
355	609	1102
356	611	1102
357	614	1102
358	616	1100
359	617	1097
360	618	1095
361	619	1092
362	620	1089
363	621	1086
364	622	1083
365	624	1081
366	627	1082
367	629	1080
368	630	1077
369	631	1074
370	632	1071
371	633	1068
372	634	1066
373	635	1063
374	636	1061
375	637	1058
376	640	1057
377	641	1055
378	642	1053
379	643	1050
380	644	1047
381	646	1045
382	647	1042
383	648	1039
384	649	1036
385	650	1034
386	651	1031
387	652	1029
388	653	1026
389	655	1025
390	656	1022
391	657	1020
392	658	1017
393	659	1015
394	660	1012
395	661	1009
396	663	1007
397	664	1004
398	665	1001
399	666	999
400	667	996
401	667	993
402	670	993
403	671	991
404	673	989
405	675	987
406	676	985
407	677	982
408	678	980
409	679	977
410	680	974
411	681	972
412	682	969
413	683	967
414	685	966
415	686	964
416	688	962
417	689	959
418	690	957
419	691	955
420	692	952
421	693	950
422	694	947
423	695	945
424	696	942
425	697	940
426	699	938
427	700	936
428	702	934
429	703	932
430	704	930
431	706	928
432	707	925
433	708	923
434	709	921
435	710	919
436	712	917
437	714	916
438	716	915
439	718	914
440	720	912
441	721	910
442	722	908
443	724	906
444	725	904
445	726	902
446	730	903
447	731	901
448	733	899
449	735	898
450	737	897
451	738	895
452	739	893
453	740	891
454	742	889
455	744	888
456	746	886
457	748	885
458	749	883
459	750	881
460	751	878
461	752	876
462	753	874
463	754	872
464	756	869
465	758	868
466	759	867
467	761	865
468	762	863
469	763	860
470	764	858
471	765	856
472	766	853
473	767	852
474	768	849
475	770	847
476	771	846
477	773	845
478	776	844
479	777	842
480	778	840
481	779	837
482	780	835
483	781	833
484	782	831
485	783	829
486	785	826
487	786	825
488	788	824
489	790	822
490	791	820
491	793	819
492	794	817
493	796	815
494	797	813
495	798	811
496	799	808
497	801	807
498	803	807
499	805	805
500	806	803
501	807	801
502	808	799
503	809	797
504	811	795
505	812	793
506	813	790
507	815	790
508	817	788
509	819	786
510	820	784
511	821	782
512	822	781
513	823	779
514	824	776
515	826	774
516	827	772
517	828	770
518	829	768
519	830	767
520	832	765
521	833	763
522	835	761
523	836	759
524	837	758
525	841	757
526	842	756
527	843	753
528	844	752
529	846	750
530	848	749
531	850	748
532	852	747
533	854	745
534	855	743
535	856	741
536	863	744
537	865	743
538	867	741
539	868	740
540	870	738
541	871	736
542	872	734
543	875	733
544	877	732
545	879	730
546	880	728
547	881	726
548	882	724
549	883	722
550	884	720
551	885	718
552	887	717
553	888	715
554	890	713
555	892	713
556	894	711
557	895	709
558	896	707
559	897	705
560	898	703
561	900	701
562	901	699
563	902	697
564	904	696
565	906	695
566	908	693
567	910	692
568	912	691
569	914	689
570	915	687
571	918	686
572	921	686
573	923	685
574	924	683
575	926	681
576	927	680
577	929	678
578	930	676
579	932	675
580	934	674
581	936	672
582	938	671
583	941	670
584	943	669
585	944	667
586	946	666
587	948	664
588	950	663
589	951	661
590	954	660
591	956	659
592	957	657
593	959	655
594	961	654
595	963	653
596	965	651
597	967	650
598	969	648
599	971	647
600	972	645
601	974	644
602	976	642
603	978	641
604	980	639
605	981	638
606	983	636
607	984	634
608	985	632
609	986	631
610	988	629
611	990	627
612	991	626
613	994	624
614	995	623
615	997	621
616	998	619
617	999	618
618	1001	616
619	1002	614
620	1004	613
621	1007	612
622	1009	610
623	1010	609
624	1012	607
625	1013	605
626	1015	603
627	1016	602
628	1017	600
629	1019	598
630	1022	597
631	1024	596
632	1025	594
633	1027	593
634	1028	591
635	1030	589
636	1031	587
637	1033	586
638	1037	585
639	1039	584
640	1040	582
641	1042	581
642	1044	579
643	1046	578
644	1048	577
645	1054	577
646	1055	576
647	1059	575
648	1061	574
649	1068	575
650	1070	573
651	1072	572
652	1074	570
653	1075	569
654	1077	567
655	1079	565
656	1081	564
657	1083	563
658	1085	561
659	1086	559
660	1088	558
661	1089	556
662	1090	554
663	1093	553
664	1095	552
665	1098	550
666	1100	549
667	1102	547
668	1103	546
669	1105	544
670	1108	543
671	1110	542
672	1113	541
673	1115	539
674	1116	537
675	1117	535
676	1119	533
677	1120	532
678	1122	530
679	1124	529
680	1125	527
681	1128	525
682	1130	524
683	1131	522
684	1132	520
685	1135	519
686	1138	518
687	1140	517
688	1143	516
689	1145	514
690	1147	513
691	1149	511
692	1151	510
693	1154	508
694	1155	507
695	1157	505
696	1159	503
697	1160	502
698	1161	500
699	1164	499
700	1166	497
701	1167	495
702	1169	494
703	1171	492
704	1172	490
705	1173	488
706	1174	486
707	1175	484
708	1176	482
709	1178	481
710	1181	480
711	1184	478
712	1186	477
713	1188	475
714	1189	474
715	1190	472
716	1203	474
717	1204	473
718	1205	471
719	1207	469
720	1208	467
721	1212	466
722	1214	465
723	1217	464
724	1219	462
725	1220	460
726	1224	459
727	1227	458
728	1230	457
729	1232	455
730	1233	454
731	1235	452
732	1238	451
733	1240	449
734	1243	448
735	1244	446
736	1246	444
737	1247	442
738	1248	440
739	1249	439
740	1252	437
741	1254	436
742	1256	434
743	1258	433
744	1259	431
745	1261	429
746	1262	427
747	1263	425
748	1264	423
749	1266	422
750	1268	420
751	1269	418
752	1272	417
753	1273	415
754	1274	413
755	1275	411
756	1277	409
757	1278	408
758	1282	407
759	1284	405
760	1286	404
761	1288	402
762	1289	400
763	1290	398
764	1291	396
765	1292	394
766	1295	393
767	1297	391
768	1298	390
769	1300	388
770	1301	386
771	1302	384
772	1304	383
773	1305	381
774	1306	379
775	1308	377
776	1309	375
777	1311	374
778	1311	372
779	1312	370
780	1314	368
781	1315	366
782	1315	364
783	1316	362
784	1317	360
785	1318	359
786	1319	357
787	1320	355
788	1320	353
789	1321	351
790	1322	349
791	1324	347
792	1326	346
793	1326	344
794	1327	342
795	1328	340
796	1329	338
797	1329	336
798	1330	334
799	1331	332
800	1331	330
801	1332	328
802	1332	327
803	1333	325
804	1334	323
805	1334	321
806	1335	319
807	1336	317
808	1337	315
809	1338	314
810	1339	312
811	1340	310
812	1341	308
813	1341	306
814	1342	304
815	1343	302
816	1343	301
817	1344	299
818	1345	297
819	1345	295
820	1346	293
821	1347	291
822	1347	289
823	1348	287
824	1348	286
825	1349	284
826	1350	282
827	1350	280
828	1351	278
829	1352	277
830	1353	275
831	1354	273
832	1355	271
833	1356	269
834	1357	268
835	1357	266
836	1358	264
837	1358	262
838	1359	260
839	1360	259
840	1361	257
841	1361	255
842	1362	253
843	1363	252
844	1364	250
845	1369	249
846	1371	247
847	1372	246
848	1374	244
849	1375	242
850	1377	241
851	1378	239
852	1379	237
853	1381	236
854	1383	234
855	1386	233
856	1387	231
857	1388	229
858	1390	228
859	1391	226
860	1393	224
861	1394	223
862	1396	221
863	1398	220
864	1400	218
865	1401	216
866	1403	215
867	1404	213
868	1405	211
869	1406	210
870	1408	208
871	1409	206
872	1411	205
873	1413	203
874	1414	202
875	1416	200
876	1417	198
877	1418	197
878	1419	195
879	1420	193
880	1421	192
881	1422	190
882	1423	188
883	1426	187
884	1428	185
885	1429	183
886	1431	182
887	1432	180
888	1435	179
889	1436	177
890	1438	175
891	1439	174
892	1440	172
893	1442	171
894	1444	169
895	1446	167
896	1447	166
897	1449	164
898	1451	163
899	1452	161
900	1453	159
901	1455	158
902	1457	156
903	1459	154
904	1460	153
905	1462	151
906	1463	150
907	1464	148
908	1466	146
909	1467	145
910	1468	143
911	1470	141
912	1471	140
913	1474	138
914	1475	137
915	1476	135
916	1477	133
917	1479	132
918	1480	130
919	1481	128
920	1482	127
921	1484	125
922	1486	124
923	1488	122
924	1490	120
925	1492	119
926	1493	117
927	1494	115
928	1496	114
929	1498	112
930	1500	111
931	1502	109
932	1505	108
933	1506	106
934	1507	104
935	1509	103
936	1510	101
937	1511	99
938	1514	98
939	1516	96
940	1517	95
941	1519	93
942	1520	91
943	1521	90
944	1522	88
945	1523	86
946	1524	85
947	1525	83
948	1526	82
949	1528	80
950	1530	78
951	1531	77
952	1533	75
953	1534	73
954	1535	72
955	1537	70
956	1538	69
957	1539	67
958	1540	65
959	1541	64
960	1543	62
961	1545	61
962	1547	59
963	1549	57
964	1550	56
965	1553	54
966	1554	53
967	1556	51
968	1558	49
969	1560	48
970	1562	46
971	1565	45
972	1566	43
973	1567	41
974	1569	40
975	1570	38
976	1573	37
977	1574	35
978	1575	33
979	1576	32
980	1578	30
981	1579	28
982	1580	27
983	1582	25
984	1583	24
985	1585	22
986	1586	20
987	1588	19
988	1590	17
989	1591	16
990	1592	14
991	1593	12
992	1594	11
993	1595	9
994	1597	8
995	1598	6
996	1600	4
997	1601	3
998	1603	1
999	1605	0
